kan_neurons,kan_grid,lamb,hidden_dim,ACC,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
1,5,1e-05,64,0.24091893434524536,19,6.293021579040214e-05,0.9999370574951172,"currency: 0.29
loansLeases: 0.28
bankCredit: 0.26","3M-Rate-SecondaryMarket: 0.28
loansLeases: 0.10
checkableDeposits: 0.05"
1,5,1e-05,64,0.23383215069770813,54,0.00018369362805970013,0.9998162388801575,"currency: 0.28
loansLeases: 0.27
bankCredit: 0.25","3M-Rate-SecondaryMarket: 0.52
loansLeases: 0.04
currency: 0.03"
1,5,1e-05,64,0.2391965240240097,30,0.0005986097967252135,0.999401330947876,"loansLeases: 0.26
currency: 0.26
bankCredit: 0.23","3M-Rate-SecondaryMarket: 0.46
checkableDeposits: 0.06
loansLeases: 0.06"
1,5,1e-05,64,0.23953083157539368,40,0.00013897758617531508,0.9998610615730286,"currency: 0.29
loansLeases: 0.28
bankCredit: 0.26","3M-Rate-SecondaryMarket: 0.43
loansLeases: 0.10
checkableDeposits: 0.04"
1,5,1e-05,32,0.23783542215824127,53,8.820611401461065e-05,0.9999117255210876,"currency: 0.31
loansLeases: 0.31
bankCredit: 0.27","Ex1: 0.08
tradeCurrencies: 0.06
loansLeases: 0.05"
1,5,1e-05,32,0.24570463597774506,20,0.0001186362060252577,0.999881386756897,"currency: 0.31
loansLeases: 0.31
bankCredit: 0.28","loansLeases: 0.47
savingsDeposits: 0.12
demandDeposits: 0.05"
1,5,1e-05,16,0.23135772347450256,34,0.0006422509904950857,0.9993578195571899,"currency: 0.33
loansLeases: 0.32
bankCredit: 0.29","checkableDeposits: 0.09
3M-Rate-SecondaryMarket: 0.08
loansLeases: 0.02"
1,5,1e-05,16,0.23135772347450256,34,0.0006422509904950857,0.9993578195571899,"currency: 0.33
loansLeases: 0.32
bankCredit: 0.29","checkableDeposits: 0.09
3M-Rate-SecondaryMarket: 0.08
loansLeases: 0.02"
1,5,1e-05,8,0.24295707046985626,58,0.00034560999483801425,0.9996544122695923,"loansLeases: 0.31
currency: 0.31
bankCredit: 0.26","3M-Rate-SecondaryMarket: 0.54
checkableDeposits: 0.45
currency: 0.17"
1,5,1e-05,8,0.24295707046985626,58,0.00034560999483801425,0.9996544122695923,"loansLeases: 0.31
currency: 0.31
bankCredit: 0.26","3M-Rate-SecondaryMarket: 0.54
checkableDeposits: 0.45
currency: 0.17"
6,7,1e-05,128,0.2401304692029953,22,0.0026994366198778152,0.9973005652427673,"checkableDeposits: 0.54
federalFunds: 0.53
30Y-CMortgageRate: 0.41","3M-Rate-SecondaryMarket: 0.14
checkableDeposits: 0.04
currency: 0.04"
6,7,1e-05,128,0.23647847771644592,12,0.003432429162785411,0.9965676069259644,"checkableDeposits: 0.54
federalFunds: 0.53
30Y-CMortgageRate: 0.42","3M-Rate-SecondaryMarket: 0.33
checkableDeposits: 0.07
loansLeases: 0.01"
6,7,1e-05,64,0.23372822999954224,10,0.0022822972387075424,0.9977177381515503,"checkableDeposits: 0.55
federalFunds: 0.54
30Y-CMortgageRate: 0.42","3M-Rate-SecondaryMarket: 0.15
loansLeases: 0.10
checkableDeposits: 0.04"
6,7,1e-05,64,0.23264585435390472,52,0.002688058651983738,0.9973120093345642,"checkableDeposits: 0.54
federalFunds: 0.53
30Y-CMortgageRate: 0.42","loansLeases: 0.17
3M-Rate-SecondaryMarket: 0.03
Ex1: 0.00"
6,7,1e-05,32,0.24517466127872467,21,0.0034920540638267994,0.9965079426765442,"checkableDeposits: 0.50
federalFunds: 0.49
30Y-CMortgageRate: 0.39","3M-Rate-SecondaryMarket: 0.09
currency: 0.05
loansLeases: 0.05"
6,7,1e-05,32,0.24995236098766327,48,0.003961391746997833,0.996038556098938,"federalFunds: 0.52
checkableDeposits: 0.52
30Y-CMortgageRate: 0.41","currency: 0.11
checkableDeposits: 0.10
Ex1: 0.07"
6,7,1e-05,16,0.24233728647232056,39,0.002694937400519848,0.9973050355911255,"federalFunds: 0.55
checkableDeposits: 0.53
30Y-CMortgageRate: 0.42","3M-Rate-SecondaryMarket: 0.30
checkableDeposits: 0.12
loansLeases: 0.03"
6,7,1e-05,16,0.22926759719848633,27,0.0033015708904713392,0.9966984391212463,"federalFunds: 0.55
checkableDeposits: 0.54
30Y-CMortgageRate: 0.43","3M-Rate-SecondaryMarket: 0.10
checkableDeposits: 0.08
currency: 0.02"
6,7,1e-05,8,0.23407399654388428,46,0.005913077387958765,0.9940869212150574,"checkableDeposits: 0.52
federalFunds: 0.51
30Y-CMortgageRate: 0.42","loansLeases: 0.10
3M-Rate-SecondaryMarket: 0.08
checkableDeposits: 0.06"
6,7,1e-05,8,0.25683411955833435,20,0.004732112400233746,0.9952678680419922,"checkableDeposits: 0.53
federalFunds: 0.53
30Y-CMortgageRate: 0.43","3M-Rate-SecondaryMarket: 0.04
1Y-CMaturityRate: 0.03
loansLeases: 0.02"
