cnn_blocks,dense_layers,_,RMSE,Best_Epoch
1,1,_,3.7197470664978027,8
1,2,_,3.736724853515625,27
1,3,_,3.744385242462158,8
2,1,_,3.7553603649139404,2
2,2,_,3.739760160446167,3
2,3,_,3.739528179168701,7
3,1,_,3.7527353763580322,1
3,2,_,3.7698376178741455,1
3,3,_,3.7474658489227295,4
