kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
1,3,0.0001,1,0.719346046,"[[137  46]
 [ 57 127]]",5,0.97526145,0.02473853,"Bid_Close: 9.34
Ask_High: 7.62
Bid_High: 7.38","Bid_Close: 0.72
Bid_Low: 0.63
Bid_High: 0.60"
1,3,0.0001,2,0.72479564,"[[131  52]
 [ 49 135]]",5,0.285059661,0.714940369,"Bid_Close: 7.69
Ask_Close: 6.78
Bid_High: 4.48","Ex2: 0.56
Ex6: 0.17
Ask_Low: 0.14"
1,3,0.0001,2,0.72479564,"[[131  52]
 [ 49 135]]",5,0.285059661,0.714940369,"Bid_Close: 7.69
Ask_Close: 6.78
Bid_High: 4.48","Ex2: 0.56
Ex6: 0.17
Ask_Low: 0.14"
1,3,0.0001,3,0.711171627,"[[125  58]
 [ 48 136]]",3,0.989751339,0.01024869,"Bid_Close: 8.80
Ask_Close: 6.63
Bid_High: 6.02","Ex5: 0.48
Ex1: 0.43
Ask_Volume: 0.36"
1,3,0.0001,3,0.72479564,"[[132  51]
 [ 50 134]]",6,0.907097995,0.09290199,"Bid_Close: 9.46
Bid_High: 7.93
Ask_Close: 6.95","Ex3: 0.69
Bid_Close: 0.65
Ask_Low: 0.50"
1,3,0.0001,4,0.719346046,"[[125  58]
 [ 45 139]]",10,0.013042179,0.986957848,"Bid_Close: 2.65
Ask_Close: 2.27
Ask_Open: 1.48","Bid_Close: 0.80
Ask_Low: 0.62
Bid_Low: 0.41"
1,3,0.0001,4,0.711171627,"[[119  64]
 [ 42 142]]",14,0.110998407,0.889001548,"Ask_Open: 0.44
Bid_Open: 0.39
Bid_Close: 0.38","Ex2: 0.78
Ask_Low: 0.55
Ex6: 0.42"
4,3,0.0001,1,0.705722034,"[[134  49]
 [ 59 125]]",27,0.91342634,0.086573631,"Bid_Close: 5.36
Bid_High: 4.30
Ask_High: 3.66","Bid_Close: 0.50
Bid_Low: 0.47
Bid_High: 0.41"
4,3,0.0001,1,0.719346046,"[[130  53]
 [ 50 134]]",3,0.946445286,0.053554714,"Bid_Close: 3.86
Ask_Close: 2.74
Ask_High: 1.86","Ex5: 0.51
Ex4: 0.41
Ex1: 0.31"
4,3,0.0001,2,0.72479564,"[[128  55]
 [ 46 138]]",2,0.721709013,0.278291017,"Bid_Close: 1.99
Ask_Close: 1.58
Ask_Open: 1.29","Ex2: 0.52
Ex6: 0.45
Ex1: 0.32"
4,3,0.0001,2,0.713896453,"[[139  44]
 [ 61 123]]",11,0.673174322,0.326825708,"Bid_Close: 1.77
Ask_Close: 1.36
Ask_High: 1.24","Ex1: 0.83
Ask_Volume: 0.78
Ask_High: 0.69"
4,3,0.0001,4,0.70844686,"[[130  53]
 [ 54 130]]",11,0.230918795,0.769081235,"Bid_Close: 0.72
Ask_Close: 0.56
Ask_Open: 0.37","Ex2: 0.82
Ask_Low: 0.53
Ex6: 0.53"
4,3,0.0001,4,0.72479564,"[[129  54]
 [ 47 137]]",9,0.541387916,0.458612055,"Bid_Close: 0.38
Ask_Close: 0.31
Ask_Open: 0.19","Ex1: 0.63
Ask_Volume: 0.61
Ask_High: 0.53"
4,3,0.0001,8,0.735694826,"[[125  58]
 [ 39 145]]",5,0.294964522,0.705035508,"Bid_Close: 0.37
Bid_Open: 0.35
Ask_Open: 0.35","Ex2: 0.88
Ask_Low: 0.61
Ex6: 0.54"
4,3,0.0001,8,0.738419592,"[[134  49]
 [ 47 137]]",11,0.295964122,0.704035878,"Bid_Close: 0.35
Ask_Close: 0.28
Ask_High: 0.24","Ex6: 0.73
Ex2: 0.29
Ex5: 0.17"
4,3,0.0001,12,0.713896453,"[[126  57]
 [ 48 136]]",12,0.226496339,0.773503661,"Bid_Close: 0.82
Ask_Close: 0.72
Ask_Open: 0.58","Bid_Low: 0.60
Ask_High: 0.59
Bid_High: 0.58"
4,3,0.0001,12,0.719346046,"[[143  40]
 [ 63 121]]",14,0.654605925,0.345394135,"Bid_Close: 0.58
Ask_Close: 0.44
Bid_High: 0.43","Ex6: 0.73
Ex2: 0.16
Ex5: 0.08"
4,3,0.0001,16,0.722070813,"[[126  57]
 [ 45 139]]",9,0.20147486,0.798525155,"Bid_Close: 0.37
Ask_Open: 0.32
Ask_Close: 0.27","Bid_Close: 0.25
Bid_Low: 0.15
Ask_Low: 0.04"
4,3,0.0001,16,0.700272441,"[[128  55]
 [ 55 129]]",8,0.12283352,0.87716651,"Bid_Close: 0.52
Ask_Open: 0.33
Ask_Close: 0.31","Ex2: 0.57
Ask_Low: 0.52
Bid_Close: 0.15"
