kan_neurons,kan_grid,lamb,ACC,Best_Epoch
8,3,0.1,0.38461539149284363,0
8,3,0.01,0.8708791136741638,85
8,3,0.001,0.889194130897522,74
8,3,0.0001,0.8113552927970886,50
8,3,1e-05,0.8653846383094788,38
8,3,1e-06,0.8415750861167908,48
8,3,1e-07,0.8626373410224915,33
8,4,0.1,0.38461539149284363,0
8,4,0.01,0.8131868243217468,35
8,4,0.001,0.8516483306884766,42
8,4,0.0001,0.8534798622131348,54
8,4,1e-05,0.8269230723381042,30
8,4,1e-06,0.8534798622131348,35
8,4,1e-07,0.8040292859077454,46
8,5,0.1,0.38461539149284363,0
8,5,0.01,0.8956043720245361,21
8,5,0.001,0.8708791136741638,16
8,5,0.0001,0.8598901033401489,20
8,5,1e-05,0.8681318759918213,18
8,5,1e-06,0.8699633479118347,18
8,5,1e-07,0.8571428656578064,20
8,6,0.1,0.38461539149284363,0
8,6,0.01,0.7820512652397156,37
8,6,0.001,0.8617216348648071,29
8,6,0.0001,0.8058608174324036,32
8,6,1e-05,0.8287546038627625,16
8,6,1e-06,0.8296703100204468,31
8,6,1e-07,0.8598901033401489,17
8,7,0.1,0.38461539149284363,0
8,7,0.01,0.8553113341331482,108
8,7,0.001,0.8956043720245361,83
8,7,0.0001,0.8516483306884766,21
8,7,1e-05,0.8571428656578064,20
8,7,1e-06,0.8479853272438049,19
8,7,1e-07,0.8397436141967773,18
8,8,0.1,0.38461539149284363,0
8,8,0.01,0.8699633479118347,88
8,8,0.001,0.91300368309021,20
8,8,0.0001,0.8617216348648071,15
8,8,1e-05,0.8278388381004333,18
8,8,1e-06,0.8507326245307922,11
8,8,1e-07,0.8827838897705078,16
9,3,0.1,0.38461539149284363,0
9,3,0.01,0.8296703100204468,49
9,3,0.001,0.8919413685798645,44
9,3,0.0001,0.8617216348648071,44
9,3,1e-05,0.8104395866394043,53
9,3,1e-06,0.8543956279754639,76
9,3,1e-07,0.8397436141967773,70
9,4,0.1,0.38461539149284363,0
9,4,0.01,0.819597065448761,56
