kan_neurons,kan_grid,lamb,hidden_dim,ACC,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
1,5,1.00E-05,16,0.232110068,34,0.000599425,0.999400616,"currency: 0.33
loansLeases: 0.32
bankCredit: 0.29","checkableDeposits: 0.09
3M-Rate-SecondaryMarket: 0.08
loansLeases: 0.02"
1,5,1.00E-05,8,0.241191119,58,0.000346043,0.999653995,"loansLeases: 0.31
currency: 0.31
bankCredit: 0.26","3M-Rate-SecondaryMarket: 0.54
checkableDeposits: 0.45
currency: 0.17"
1,5,1.00E-05,8,0.240836948,49,0.000213434,0.999786496,"currency: 0.31
loansLeases: 0.31
bankCredit: 0.27","3M-Rate-SecondaryMarket: 0.65
checkableDeposits: 0.64
currency: 0.35"
6,7,1.00E-05,128,0.246698514,22,0.002349032,0.997650981,"checkableDeposits: 0.55
federalFunds: 0.54
30Y-CMortgageRate: 0.41","3M-Rate-SecondaryMarket: 0.14
checkableDeposits: 0.04
currency: 0.04"
6,7,1.00E-05,128,0.251892477,12,0.002799244,0.997200787,"checkableDeposits: 0.55
federalFunds: 0.54
30Y-CMortgageRate: 0.41","3M-Rate-SecondaryMarket: 0.33
checkableDeposits: 0.07
loansLeases: 0.01"
6,7,1.00E-05,64,0.262792647,10,0.001819547,0.998180449,"checkableDeposits: 0.57
federalFunds: 0.54
3M-Rate-AuctionAverage: 0.42","3M-Rate-SecondaryMarket: 0.15
loansLeases: 0.10
checkableDeposits: 0.04"
6,7,1.00E-05,64,0.228167579,52,0.002647304,0.99735266,"checkableDeposits: 0.54
federalFunds: 0.53
30Y-CMortgageRate: 0.42","loansLeases: 0.17
3M-Rate-SecondaryMarket: 0.03
Ex1: 0.00"
6,7,1.00E-05,32,0.250140727,21,0.002607137,0.997392833,"checkableDeposits: 0.56
federalFunds: 0.53
30Y-CMortgageRate: 0.41","3M-Rate-SecondaryMarket: 0.09
currency: 0.05
loansLeases: 0.05"
6,7,1.00E-05,32,0.245711342,48,0.00339415,0.996605814,"checkableDeposits: 0.51
federalFunds: 0.50
30Y-CMortgageRate: 0.40","currency: 0.11
checkableDeposits: 0.10
Ex1: 0.07"
6,7,1.00E-05,16,0.244619027,39,0.00267132,0.997328699,"federalFunds: 0.55
checkableDeposits: 0.53
30Y-CMortgageRate: 0.41","3M-Rate-SecondaryMarket: 0.30
checkableDeposits: 0.12
loansLeases: 0.03"
6,7,1.00E-05,16,0.245087266,27,0.002816718,0.997183263,"federalFunds: 0.55
checkableDeposits: 0.55
30Y-CMortgageRate: 0.42","3M-Rate-SecondaryMarket: 0.10
checkableDeposits: 0.08
currency: 0.02"
6,7,1.00E-05,8,0.237364501,46,0.00400576,0.99599421,"checkableDeposits: 0.52
federalFunds: 0.50
30Y-CMortgageRate: 0.41","loansLeases: 0.10
3M-Rate-SecondaryMarket: 0.08
checkableDeposits: 0.06"
6,7,1.00E-05,8,0.23634547,20,0.003213345,0.996786654,"checkableDeposits: 0.53
federalFunds: 0.52
30Y-CMortgageRate: 0.41","3M-Rate-SecondaryMarket: 0.04
1Y-CMaturityRate: 0.03
loansLeases: 0.02"
6,5,1e-05,4,0.3148529827594757,45,0.022526822984218597,0.9774731993675232,"tradeCurrencies: 0.46
checkableDeposits: 0.44
30Y-CMortgageRate: 0.36","3M-Rate-SecondaryMarket: 0.35
currency: 0.29
checkableDeposits: 0.24"
6,5,1e-05,4,0.22751758992671967,24,0.0022411111276596785,0.9977589249610901,"checkableDeposits: 0.50
tradeCurrencies: 0.37
currency: 0.28","Ex1: 0.27
tradeCurrencies: 0.05
savingsDeposits: 0.03"
6,5,1e-05,4,0.25452402234077454,28,0.013295366428792477,0.9867046475410461,"checkableDeposits: 0.49
tradeCurrencies: 0.38
federalFunds: 0.30","3M-Rate-SecondaryMarket: 0.15
currency: 0.10
Ex1: 0.05"
6,5,1e-05,2,0.26016995310783386,13,0.005377583671361208,0.9946224093437195,"checkableDeposits: 0.45
tradeCurrencies: 0.38
loansLeases: 0.33","loansLeases: 0.07
savingsDeposits: 0.01
Ex1: 0.01"
6,5,1e-05,2,0.2697797119617462,29,0.006850631441920996,0.9931493997573853,"checkableDeposits: 0.45
tradeCurrencies: 0.38
loansLeases: 0.33","loansLeases: 0.21
tradeCurrencies: 0.21
savingsDeposits: 0.14"
6,5,1e-05,6,0.2669050693511963,38,0.005669923033565283,0.994330108165741,"checkableDeposits: 0.47
tradeCurrencies: 0.36
loansLeases: 0.34","loansLeases: 0.07
savingsDeposits: 0.00
tradeCurrencies: 0.00"
6,5,1e-05,6,0.23832012712955475,25,0.0034364366438239813,0.9965635538101196,"checkableDeposits: 0.50
tradeCurrencies: 0.37
loansLeases: 0.32","loansLeases: 0.25
savingsDeposits: 0.03
demandDeposits: 0.01"
