kan_neurons,kan_grid,lamb,"embed_dim, num_heads",RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,"64, 2",0.3921548128128052,89,1.0775661394291092e-05,0.9999892711639404,,
2,4,1e-05,"64, 4",0.4017028212547302,88,0.00677836686372757,0.993221640586853,,
2,4,1e-05,"64, 8",0.34527119994163513,72,0.004511181265115738,0.9954888224601746,,
2,4,1e-05,"32, 2",0.31895720958709717,88,0.0018600625917315483,0.9981399178504944,,
2,4,1e-05,"32, 4",0.3229307234287262,87,0.0016577220521867275,0.9983422756195068,,
2,4,1e-05,"32, 8",0.32187801599502563,79,0.001370481913909316,0.9986294507980347,,
2,4,1e-05,"16, 2",0.5121810436248779,84,0.002996542491018772,0.9970034956932068,,
2,4,1e-05,"16, 4",0.5121810436248779,84,0.002996542491018772,0.9970034956932068,,
2,4,1e-05,"16, 8",0.5121810436248779,84,0.002996542491018772,0.9970034956932068,,
2,4,1e-05,"48, 6",0.42918577790260315,75,0.005453507415950298,0.9945464730262756,,
2,4,1e-05,"24, 6",0.5434544086456299,44,0.03220397233963013,0.9677960276603699,,
2,4,1e-05,"12, 6",0.30121198296546936,89,0.007290605455636978,0.9927093982696533,,
1,6,1e-06,"64, 2",0.4898650646209717,61,0.00017354027659166604,0.9998264908790588,,
1,6,1e-06,"64, 4",0.4347838759422302,72,1.1813406253224912e-08,1.0,,
1,6,1e-06,"64, 8",0.4347838759422302,72,1.1813406253224912e-08,1.0,,
1,6,1e-06,"32, 2",0.5362161993980408,72,0.010102546773850918,0.9898974299430847,,
1,6,1e-06,"32, 4",0.5154512524604797,77,0.006008307449519634,0.9939916729927063,,
1,6,1e-06,"32, 8",0.48662078380584717,67,0.005956449080258608,0.9940435886383057,,
1,6,1e-06,"16, 2",0.43380749225616455,79,0.0,1.0,,
1,6,1e-06,"16, 4",0.45297157764434814,79,2.9193193640253412e-08,1.0,,
1,6,1e-06,"16, 8",1.3690741062164307,4,0.0,1.0,,
1,6,1e-06,"48, 6",0.3996032476425171,65,6.302072142716497e-05,0.9999369978904724,,
1,6,1e-06,"24, 6",0.3798564076423645,49,1.1150032150908373e-05,0.9999887943267822,,
1,6,1e-06,"12, 6",0.46784353256225586,76,0.25783026218414307,0.7421696782112122,,
7,4,1e-06,"64, 2",0.37691423296928406,77,0.06507549434900284,0.9349244832992554,,
7,4,1e-06,"64, 4",0.37691423296928406,77,0.06507549434900284,0.9349244832992554,,
7,4,1e-06,"64, 8",0.3205147981643677,78,0.1163591742515564,0.8836408257484436,,
7,4,1e-06,"32, 2",0.3134007751941681,79,0.07134996354579926,0.9286500811576843,,
7,4,1e-06,"32, 4",0.3134007751941681,79,0.07134996354579926,0.9286500811576843,,
7,4,1e-06,"32, 8",0.36164727807044983,79,0.17275042831897736,0.8272495865821838,,
7,4,1e-06,"16, 2",0.33268195390701294,79,0.4033697545528412,0.5966302752494812,,
7,4,1e-06,"16, 4",0.3261057436466217,76,0.4205402135848999,0.5794597864151001,,
7,4,1e-06,"16, 8",0.33268195390701294,79,0.4033697545528412,0.5966302752494812,,
7,4,1e-06,"48, 6",0.6637950539588928,75,0.036217670887708664,0.9637823104858398,,
7,4,1e-06,"24, 6",0.6723088622093201,60,0.062251172959804535,0.9377487897872925,,
7,4,1e-06,"12, 6",0.33962199091911316,74,0.8583369851112366,0.1416630893945694,,
7,4,1e-06,"64, 2",0.3205147981643677,78,0.1163591742515564,0.8836408257484436,,
7,4,1e-06,"64, 4",0.3205147981643677,78,0.1163591742515564,0.8836408257484436,,
7,4,1e-06,"64, 8",0.3205147981643677,78,0.1163591742515564,0.8836408257484436,,
7,4,1e-06,"32, 2",0.3520065248012543,78,0.02429969049990177,0.975700318813324,,
7,4,1e-06,"32, 4",0.3394182026386261,79,0.022666234523057938,0.9773337841033936,,
7,4,1e-06,"32, 8",0.3134007751941681,79,0.07134996354579926,0.9286500811576843,,
7,4,1e-06,"16, 2",0.33268195390701294,79,0.4033697545528412,0.5966302752494812,,
7,4,1e-06,"16, 4",0.3268698751926422,77,0.5525674223899841,0.4474325180053711,,
7,4,1e-06,"16, 8",0.3268698751926422,77,0.5525674223899841,0.4474325180053711,,
7,4,1e-06,"48, 6",0.6108843684196472,79,0.016010109335184097,0.9839898943901062,,
7,4,1e-06,"24, 6",0.6022469401359558,79,0.28169453144073486,0.7183054685592651,,
7,4,1e-06,"12, 6",0.33962199091911316,74,0.8583369851112366,0.1416630893945694,,
2,4,1e-05,"64, 2",0.4859870374202728,89,0.014488711953163147,0.985511302947998,,
2,4,1e-05,"64, 4",0.4017028212547302,88,0.00677836686372757,0.993221640586853,,
2,4,1e-05,"64, 8",0.4017028212547302,88,0.00677836686372757,0.993221640586853,,
2,4,1e-05,"32, 2",0.3255227506160736,89,0.00168118835426867,0.9983187913894653,,
2,4,1e-05,"32, 4",0.31485360860824585,86,0.001740930718369782,0.9982591271400452,,
2,4,1e-05,"32, 8",0.3744209408760071,89,0.0021729522850364447,0.9978270530700684,,
2,4,1e-05,"16, 2",0.4111897349357605,79,0.007826466113328934,0.9921735525131226,,
2,4,1e-05,"16, 4",0.5121810436248779,84,0.002996542491018772,0.9970034956932068,,
2,4,1e-05,"16, 8",0.4073413908481598,79,0.006092217285186052,0.9939077496528625,,
2,4,1e-05,"48, 6",0.41908344626426697,89,0.004886081907898188,0.9951139688491821,,
2,4,1e-05,"24, 6",0.5434544086456299,44,0.03220397233963013,0.9677960276603699,,
2,4,1e-05,"12, 6",0.30375444889068604,83,0.006581597030162811,0.9934184551239014,,
