kan_neurons,kan_grid,lamb,ACC,Best_Epoch
3,8,0.01,0.664850116,0
2,7,0.01,0.656675756,0
1,6,0.01,0.651226163,4
2,3,0.01,0.64577657,2
3,6,0.01,0.640326977,1
3,3,0.01,0.634877384,0
5,6,0.01,0.634877384,1
1,4,0.01,0.632152557,0
5,3,0.01,0.615803778,1
1,5,0.01,0.602179825,2
2,8,0.01,0.602179825,0
4,6,0.01,0.599455059,1
4,8,0.01,0.596730232,1
2,6,0.01,0.594005466,0
4,5,0.01,0.583106279,0
1,3,0.01,0.572207093,1
4,4,0.01,0.569482267,2
3,7,0.01,0.564032674,0
5,7,0.01,0.558583081,2
5,4,0.01,0.553133488,0
5,8,0.01,0.542234302,0
2,6,0.1,0.542234302,1
4,7,0.01,0.528610349,1
4,3,0.01,0.517711163,2
2,8,0.1,0.517711163,1
3,8,0.1,0.50408721,39
5,5,0.01,0.50408721,1
3,3,0.1,0.501362383,1
3,4,0.1,0.501362383,3
3,5,0.1,0.501362383,1
3,5,0.01,0.501362383,3
3,6,0.1,0.501362383,0
3,7,0.1,0.501362383,2
4,3,0.1,0.501362383,0
4,4,0.1,0.501362383,0
4,5,0.1,0.501362383,0
4,6,0.1,0.501362383,0
4,7,0.1,0.501362383,1
4,8,0.1,0.501362383,1
5,3,0.1,0.501362383,5
5,4,0.1,0.501362383,0
5,5,0.1,0.501362383,0
5,6,0.1,0.501362383,29
5,7,0.1,0.501362383,0
5,8,0.1,0.501362383,1
1,3,0.1,0.501362383,1
1,4,0.1,0.501362383,0
1,5,0.1,0.501362383,5
1,6,0.1,0.501362383,2
1,8,0.1,0.501362383,0
2,4,0.1,0.501362383,0
2,5,0.1,0.501362383,0
2,5,0.01,0.501362383,0
2,7,0.1,0.501362383,0
1,7,0.1,0.498637587,1
2,3,0.1,0.498637587,11
