cnn_blocks,dense_layers,_,RMSE,Best_Epoch
1,1,_,3.7293519973754883,65
1,2,_,3.7224411964416504,37
1,3,_,3.7679197788238525,58
2,1,_,3.8109169006347656,16
2,2,_,3.7516045570373535,9
2,3,_,3.772869825363159,23
3,1,_,3.84755802154541,3
3,2,_,3.8736231327056885,7
3,3,_,3.8331828117370605,5
