kan_neurons,kan_grid,lamb,embed_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,5,0.01,"32, 8",3.368380308151245,95,0.000977218965999782,0.9990227818489075,"tau2: 0.44
thetad2: 0.38
theta3: 0.36","theta3: 0.18
Ex1: 0.15
thetad3: 0.12"
3,5,0.01,"16, 2",3.2576000690460205,42,0.0065574850887060165,0.9934425354003906,"thetad1: 0.75
tau2: 0.30
tau1: 0.24","theta3: 0.50
thetad3: 0.45
Ex1: 0.31"
3,5,0.01,"16, 4",3.261965274810791,26,0.003913254477083683,0.9960867762565613,"thetad2: 0.52
thetad1: 0.38
theta2: 0.31","theta3: 0.44
thetad3: 0.36
Ex1: 0.26"
3,5,0.01,"16, 8",3.2624099254608154,31,0.06282757222652435,0.9371724128723145,"thetad1: 0.49
thetad2: 0.49
theta3: 0.42","tau2: 0.41
tau1: 0.41
theta3: 0.27"
2,4,1e-05,"48, 6",3.270108222961426,69,0.0032900564838200808,0.996709942817688,"theta2: 0.48
theta3: 0.44
tau2: 0.35","thetad2: 0.33
theta1: 0.30
theta2: 0.27"
2,4,1e-05,"24, 6",3.2559006214141846,51,0.19418184459209442,0.8058180809020996,"theta2: 0.48
theta3: 0.44
tau2: 0.35","theta3: 0.24
thetad2: 0.23
theta1: 0.21"
2,4,1e-05,"12, 6",3.2743752002716064,87,0.10401315242052078,0.8959868550300598,"theta2: 0.48
theta3: 0.44
tau2: 0.35","thetad2: 0.30
tau1: 0.28
theta3: 0.27"
3,5,0.01,"48, 6",3.2608516216278076,96,8.147903281496838e-05,0.999918520450592,"thetad1: 0.40
thetad2: 0.36
tau2: 0.36","tau2: 0.37
tau1: 0.29
thetad1: 0.24"
3,5,0.01,"24, 6",3.2491347789764404,22,0.018577152863144875,0.9814228415489197,"tau1: 0.51
thetad2: 0.39
thetad1: 0.27","tau1: 0.46
theta3: 0.41
tau2: 0.40"
3,5,0.01,"12, 6",3.2715725898742676,30,0.24270641803741455,0.7572935819625854,"thetad2: 0.70
theta2: 0.29
thetad1: 0.28","theta3: 0.33
tau1: 0.32
tau2: 0.28"
4,3,0.01,"48, 6",3.431802749633789,79,0.02536187320947647,0.9746381044387817,"tau2: 0.48
thetad3: 0.43
theta1: 0.33","Ex1: 0.20
tau1: 0.16
theta3: 0.16"
4,3,0.01,"24, 6",3.262160539627075,78,0.21108509600162506,0.7889149188995361,"tau2: 0.53
theta2: 0.33
thetad3: 0.29","theta3: 0.38
thetad3: 0.34
theta1: 0.21"
4,3,0.01,"12, 6",3.2593889236450195,29,0.5081251859664917,0.4918748438358307,"tau1: 0.42
tau2: 0.33
theta1: 0.30","thetad3: 0.35
theta3: 0.35
thetad2: 0.20"
3,5,0.0001,"64, 2",3.2726240158081055,82,0.09244995564222336,0.907550036907196,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","theta3: 0.41
thetad3: 0.38
tau1: 0.33"
3,5,0.0001,"64, 4",3.251106023788452,53,0.10984672605991364,0.8901532888412476,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau1: 0.43
theta3: 0.36
tau2: 0.34"
3,5,0.0001,"64, 8",3.2619681358337402,57,0.042281851172447205,0.9577181339263916,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau2: 0.49
tau1: 0.49
thetad1: 0.36"
3,5,0.0001,"32, 2",3.286764144897461,64,0.019426897168159485,0.9805730581283569,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau2: 0.49
tau1: 0.37
theta3: 0.34"
3,5,0.0001,"32, 4",3.2842884063720703,65,0.06732799857854843,0.9326720237731934,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau2: 0.54
tau1: 0.49
theta3: 0.42"
3,5,0.0001,"48, 6",3.2783751487731934,85,0.008304701186716557,0.9916952848434448,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","thetad1: 0.19
theta1: 0.16
thetad2: 0.14"
3,5,0.0001,"24, 6",3.252990245819092,46,0.00728618074208498,0.9927137494087219,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","thetad3: 0.38
Ex1: 0.35
theta3: 0.34"
3,5,0.0001,"12, 6",3.27103853225708,21,0.24872171878814697,0.751278281211853,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau2: 0.54
tau1: 0.43
thetad1: 0.33"
