kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,0.9,3.2781286239624023,11,0.2113611251115799,0.7886388301849365,"theta3: 0.69
theta2: 0.65
thetad2: 0.03","theta2: 0.25
thetad1: 0.24
thetad3: 0.21"
2,4,1e-05,0.8,3.2722232341766357,11,0.2747490704059601,0.7252509593963623,"theta3: 0.73
theta2: 0.64
theta1: 0.04","Ex1: 0.23
tau2: 0.22
tau1: 0.21"
2,4,1e-05,0.75,3.2744078636169434,11,0.25185441970825195,0.7481455206871033,"theta3: 0.75
theta2: 0.61
theta1: 0.04","tau2: 0.28
thetad3: 0.23
Ex1: 0.22"
2,4,1e-05,0.7,3.2964229583740234,13,0.23264950513839722,0.7673504948616028,"theta3: 0.76
theta2: 0.60
thetad3: 0.04","Ex1: 0.14
thetad3: 0.10
theta2: 0.10"
2,4,1e-05,0.6,3.3012986183166504,9,0.19395801424980164,0.806041955947876,"theta3: 0.70
theta2: 0.64
thetad2: 0.05","thetad1: 0.22
tau2: 0.22
thetad3: 0.22"
2,4,1e-05,0.5,3.3361189365386963,15,0.19236554205417633,0.8076344132423401,"theta3: 0.72
theta2: 0.62
thetad1: 0.05","tau2: 0.38
tau1: 0.37
Ex1: 0.34"
2,4,1e-05,0.4,3.32037615776062,11,0.18869255483150482,0.811307430267334,"theta2: 0.66
theta3: 0.66
thetad1: 0.06","tau1: 0.37
tau2: 0.37
Ex1: 0.23"
2,4,1e-05,0.3,3.365474224090576,7,0.20288138091564178,0.797118604183197,"theta3: 0.55
theta2: 0.44
tau2: 0.29","thetad3: 0.32
theta3: 0.31
tau2: 0.31"
2,4,1e-05,0.2,3.361900806427002,5,0.23993729054927826,0.7600626945495605,"theta3: 0.69
theta2: 0.40
thetad2: 0.28","theta2: 0.32
thetad1: 0.31
thetad3: 0.31"
2,4,1e-05,0.9,3.2735769748687744,8,0.273039847612381,0.7269601821899414,,
2,4,1e-05,0.8,3.2722232341766357,11,0.2747490704059601,0.7252509593963623,,
2,4,1e-05,0.75,3.2744078636169434,11,0.25185441970825195,0.7481455206871033,,
2,4,1e-05,0.7,3.2860169410705566,11,0.25088393688201904,0.749116063117981,,
2,4,1e-05,0.6,3.3021106719970703,9,0.19945043325424194,0.8005495667457581,,
2,4,1e-05,0.5,3.3200247287750244,13,0.21679210662841797,0.7832078337669373,,
2,4,1e-05,0.4,3.314415693283081,11,0.19272662699222565,0.8072733879089355,,
2,4,1e-05,0.3,3.361375331878662,6,0.21536390483379364,0.7846360802650452,,
2,4,1e-05,0.2,3.3594095706939697,5,0.24234600365161896,0.757654070854187,,
2,4,1e-05,0.1,3.352602243423462,7,0.23104284703731537,0.7689570784568787,,
2,4,1e-05,0.05,3.37156081199646,3,0.27339619398117065,0.7266037464141846,,
2,4,1e-05,0.01,3.36114764213562,5,0.2398844063282013,0.7601155638694763,,
3,5,0.0001,0.9,3.262449264526367,10,0.1989581435918808,0.801041841506958,,
3,5,0.0001,0.8,3.257530927658081,8,0.2043595016002655,0.7956404685974121,,
3,5,0.0001,0.75,3.261650323867798,7,0.18510080873966217,0.8148992657661438,,
3,5,0.0001,0.7,3.2710154056549072,8,0.26090243458747864,0.739097535610199,,
3,5,0.0001,0.6,3.266892910003662,6,0.23069271445274353,0.7693073153495789,,
3,5,0.0001,0.5,3.263807535171509,6,0.24970494210720062,0.7502950429916382,,
3,5,0.0001,0.4,3.2734086513519287,7,0.2121444195508957,0.7878556251525879,,
3,5,0.0001,0.3,3.2872366905212402,4,0.211410254240036,0.7885897159576416,,
3,5,0.0001,0.2,3.2806835174560547,6,0.21623723208904266,0.7837627530097961,,
3,5,0.0001,0.1,3.308579683303833,10,0.16000230610370636,0.8399976491928101,,
3,5,0.0001,0.05,3.2529690265655518,5,0.2775658965110779,0.7224341034889221,,
3,5,0.0001,0.01,3.268899917602539,6,0.25519412755966187,0.7448058724403381,,
2,3,0.01,0.9,3.236362934112549,9,0.49427154660224915,0.5057284235954285,,
2,3,0.01,0.8,3.2844762802124023,31,0.567936897277832,0.4320630431175232,,
2,3,0.01,0.75,3.2462706565856934,18,0.6920692920684814,0.30793067812919617,,
2,3,0.01,0.7,3.366989850997925,12,0.4126175045967102,0.5873825550079346,,
2,3,0.01,0.6,3.2593843936920166,23,0.7339288592338562,0.2660711109638214,,
2,3,0.01,0.5,3.27190899848938,20,0.7228492498397827,0.2771507501602173,,
2,3,0.01,0.4,3.268233060836792,19,0.688907265663147,0.31109267473220825,,
2,3,0.01,0.3,3.2582356929779053,17,0.774569571018219,0.225430428981781,,
2,3,0.01,0.2,3.2486732006073,15,0.7001492381095886,0.29985079169273376,,
2,3,0.01,0.1,3.248443126678467,21,0.9054844379425049,0.09451556950807571,,
2,3,0.01,0.05,3.2531754970550537,16,0.9016149640083313,0.09838505834341049,,
2,3,0.01,0.01,3.2622625827789307,15,0.6995049715042114,0.3004950284957886,,
3,3,0.0001,0.9,3.26944637298584,10,0.2678830623626709,0.7321168780326843,,
3,3,0.0001,0.8,3.2461676597595215,7,0.24753338098526,0.7524665594100952,,
3,3,0.0001,0.75,3.267690896987915,8,0.25205835700035095,0.7479416728019714,,
3,3,0.0001,0.7,3.3036723136901855,9,0.20207567512989044,0.7979243397712708,,
3,3,0.0001,0.6,3.259347915649414,7,0.27370503544807434,0.726294994354248,,
3,3,0.0001,0.5,3.2617075443267822,9,0.29592597484588623,0.704073965549469,,
3,3,0.0001,0.4,3.2792117595672607,10,0.28581514954566956,0.7141848206520081,,
3,3,0.0001,0.3,3.2824654579162598,12,0.2355947196483612,0.7644052505493164,,
3,3,0.0001,0.2,3.2482717037200928,7,0.265033483505249,0.734966516494751,,
3,3,0.0001,0.1,3.2776801586151123,10,0.21490760147571564,0.7850923538208008,,
3,3,0.0001,0.05,3.2505416870117188,6,0.19943709671497345,0.800562858581543,,
3,3,0.0001,0.01,3.309880495071411,11,0.15496475994586945,0.845035195350647,,
