kan_neurons,kan_grid,lamb,hidden_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
5,4,0.0001,128,0.2547908127307892,68,0.006731957197189331,0.9932680130004883,,
5,4,0.0001,64,0.24428293108940125,69,0.0036170948296785355,0.9963828921318054,,
5,4,0.0001,32,0.2435559779405594,61,0.00345560722053051,0.996544361114502,,
5,4,0.0001,16,0.25242966413497925,44,0.0019772471860051155,0.9980227947235107,,
5,4,0.0001,8,0.49606814980506897,4,0.0,1.0,,
6,5,1e-05,128,0.2548610270023346,37,0.003792689647525549,0.9962073564529419,,
6,5,1e-05,64,0.2753015160560608,42,0.003431570017710328,0.9965684413909912,,
6,5,1e-05,32,0.25786417722702026,52,0.003977566491812468,0.9960224032402039,,
6,5,1e-05,16,0.24923066794872284,67,0.005968540441244841,0.9940314888954163,,
6,5,1e-05,8,0.25907036662101746,46,0.0035468728747218847,0.9964531660079956,,
1,6,1e-06,128,0.33390745520591736,59,0.00037202751263976097,0.999627947807312,,
1,6,1e-06,64,0.3289887607097626,68,0.0013904321240261197,0.9986095428466797,,
1,6,1e-06,32,0.28518468141555786,47,0.0037442450411617756,0.9962556958198547,,
1,6,1e-06,16,0.44504812359809875,34,0.00037409915239550173,0.9996258616447449,,
1,6,1e-06,8,0.28598183393478394,69,0.0014118485851213336,0.9985882043838501,,
7,4,1e-06,128,0.2653900980949402,69,0.002296034712344408,0.9977039098739624,,
7,4,1e-06,64,0.2538439631462097,69,0.0030310277361422777,0.9969689249992371,,
7,4,1e-06,32,0.2705356776714325,67,0.0029419742058962584,0.9970579743385315,,
7,4,1e-06,16,0.24385277926921844,58,0.0032460864167660475,0.9967539310455322,,
7,4,1e-06,8,0.2942955493927002,54,0.0017352249706164002,0.998264729976654,,
