kan_neurons,kan_grid,lamb,ACC,Best_Epoch
6,4,0.001,0.713896453,1
6,6,0.0001,0.713896453,4
6,7,0.001,0.713896453,6
7,7,1.00E-05,0.713896453,2
8,3,1.00E-05,0.713896453,14
8,4,0.0001,0.713896453,4
8,5,1.00E-06,0.713896453,4
1,5,0.0001,0.713896453,9
1,5,1.00E-05,0.713896453,1
1,6,0.001,0.713896453,2
2,3,1.00E-05,0.713896453,3
2,4,0.001,0.713896453,2
2,7,0.0001,0.713896453,2
2,7,1.00E-05,0.713896453,31
2,8,1.00E-05,0.713896453,2
2,8,1.00E-06,0.713896453,2
3,5,1.00E-06,0.711171627,1
3,6,1.00E-06,0.711171627,26
3,8,0.0001,0.711171627,2
3,8,1.00E-06,0.711171627,5
3,8,1.00E-07,0.711171627,4
4,4,0.0001,0.711171627,34
4,4,1.00E-05,0.711171627,4
4,6,1.00E-05,0.711171627,1
4,6,1.00E-07,0.711171627,6
5,5,0.0001,0.711171627,20
6,3,1.00E-05,0.711171627,11
7,3,1.00E-07,0.711171627,17
7,4,0.0001,0.711171627,1
7,4,1.00E-07,0.711171627,32
7,6,1.00E-07,0.711171627,2
8,4,1.00E-06,0.711171627,3
8,7,1.00E-07,0.711171627,6
1,3,1.00E-07,0.711171627,1
1,4,1.00E-05,0.711171627,1
2,5,0.001,0.711171627,1
2,5,0.0001,0.711171627,5
3,4,1.00E-07,0.70844686,1
6,5,1.00E-06,0.70844686,24
6,8,1.00E-07,0.70844686,1
7,4,1.00E-06,0.70844686,1
8,6,0.001,0.70844686,1
1,6,1.00E-07,0.70844686,6
2,3,0.001,0.70844686,1
2,4,1.00E-06,0.70844686,1
2,5,1.00E-06,0.70844686,6
3,6,0.01,0.705722034,4
3,6,0.0001,0.705722034,2
3,7,0.0001,0.705722034,2
4,4,1.00E-06,0.705722034,13
4,6,0.001,0.705722034,30
4,6,1.00E-06,0.705722034,18
4,8,1.00E-05,0.705722034,2
5,3,1.00E-06,0.705722034,14
6,4,0.0001,0.705722034,14
6,8,1.00E-05,0.705722034,1
7,4,0.001,0.705722034,1
7,5,0.0001,0.705722034,5
8,3,0.0001,0.705722034,20
8,6,1.00E-06,0.705722034,1
8,7,1.00E-05,0.705722034,23
1,3,0.0001,0.705722034,1
