cnn_blocks,dense_layers,_,RMSE,Best_Epoch
1,1,_,0.44823747873306274,109
1,2,_,0.4178912043571472,109
1,3,_,0.44290944933891296,102
2,1,_,0.41643834114074707,46
2,2,_,0.41073673963546753,109
2,3,_,0.45059770345687866,49
3,1,_,0.4604489505290985,35
3,2,_,0.44180920720100403,73
3,3,_,0.42228102684020996,34
